order_id;profit;cargo;cargo_amount;vehicle_type;manhattan_dist;Year;Month;Day
0_730511_44;694;Coal;25;road vehicle;39;2000;1;27
0_730520_25;699;Coal;25;road vehicle;39;2000;2;5
0_730546_56;696;Coal;25;road vehicle;39;2000;3;2
0_730555_37;698;Coal;25;road vehicle;39;2000;3;11
0_730560_63;360;Wood;22;road vehicle;27;2000;3;16
0_730581_32;359;Wood;22;road vehicle;27;2000;4;6
1_730581_68;695;Coal;25;road vehicle;39;2000;4;6
0_730599_22;690;Coal;25;road vehicle;39;2000;4;24
0_730602_10;359;Wood;22;road vehicle;27;2000;4;27
0_730617_6;695;Coal;25;road vehicle;39;2000;5;12
0_730622_33;359;Wood;22;road vehicle;27;2000;5;17
0_730634_34;695;Coal;25;road vehicle;39;2000;5;29
0_730642_65;360;Wood;22;road vehicle;27;2000;6;6
0_730648_24;360;Wood;22;road vehicle;27;2000;6;12
0_730652_18;695;Coal;25;road vehicle;39;2000;6;16
0_730673_55;695;Coal;25;road vehicle;39;2000;7;7
1_730674_38;360;Wood;22;road vehicle;27;2000;7;8
0_730685_1;359;Wood;22;road vehicle;27;2000;7;19
0_730693_9;695;Coal;25;road vehicle;39;2000;7;27
0_730708_11;359;Wood;22;road vehicle;27;2000;8;11
1_730708_67;695;Coal;25;road vehicle;39;2000;8;11
0_730712_34;360;Wood;22;road vehicle;27;2000;8;15
0_730728_21;695;Coal;25;road vehicle;39;2000;8;31
0_730734_2;360;Wood;22;road vehicle;27;2000;9;6
0_730744_5;695;Coal;25;road vehicle;39;2000;9;16
0_730747_13;359;Wood;22;road vehicle;27;2000;9;19
0_730763_33;699;Coal;25;road vehicle;39;2000;10;5
0_730767_55;360;Wood;22;road vehicle;27;2000;10;9
0_730787_34;690;Coal;25;road vehicle;39;2000;10;29
1_730788_14;360;Wood;22;road vehicle;27;2000;10;30
0_730793_46;360;Wood;22;road vehicle;27;2000;11;4
0_730798_45;698;Coal;25;road vehicle;39;2000;11;9
0_730814_5;360;Wood;22;road vehicle;27;2000;11;25
0_730826_53;695;Coal;25;road vehicle;39;2000;12;7
0_730830_3;359;Wood;22;road vehicle;27;2000;12;11
0_730833_57;698;Coal;25;road vehicle;39;2000;12;14
0_730850_36;359;Wood;22;road vehicle;27;2000;12;31
0_730861_65;695;Coal;25;road vehicle;39;2001;1;11
0_730864_3;360;Wood;22;road vehicle;27;2001;1;14
0_730870_52;695;Coal;25;road vehicle;39;2001;1;20
0_730876_27;360;Wood;22;road vehicle;27;2001;1;26
0_730892_46;360;Wood;22;road vehicle;27;2001;2;11
0_730897_3;695;Coal;25;road vehicle;39;2001;2;16
0_730905_64;699;Coal;25;road vehicle;39;2001;2;24
0_730913_18;360;Wood;22;road vehicle;27;2001;3;4
1_730915_20;1794;Iron Ore;60;railway locomotive;50;2001;3;6
0_730932_15;695;Coal;25;road vehicle;39;2001;3;23
0_730933_47;360;Wood;22;road vehicle;27;2001;3;24
0_730939_9;360;Wood;22;road vehicle;27;2001;3;30
